iter	Passed	Remaining
989	54998	555
990	55058	500
991	55116	444
992	55175	388
993	55232	333
994	55290	277
995	55349	222
996	55411	166
997	55472	111
998	55530	55
999	55599	0
